Title,Current Price,Old Price,Diff,Date
"Monitor de ecrã plano aoc basic-line 27b2h 68,6 cm (27"") 1920 x 1080 pixels alta definição total led preto
",149.25,0,-,23/11/2020
"
  Monitor Acer KA270HABIDLED FHD - 27''
",154.75,181.06,26.310000000000002,23/11/2020
"
  Monitor Philips FHD 273V7QDSB/00
",119.99,149.99,30.000000000000014,23/11/2020
"
  Monitor Philips 273V7QDAB/00 FHD - 27''
",129.99,149.99,20.0,23/11/2020
"Monitor de ecrã ASUS VA27EHE 68,6 cm (27"") 1920 x 1080 pixels Full HD LED Preto
",155.0,0,-,23/11/2020
"monitor de ecrã plano AOC 27B1H  68,6 cm (27"") Full HD LED Fosco Preto
",161.46,0,-,23/11/2020
"Monitor de ecrã asus 90lm0420-b01370 68,6 cm (27"") 1920 x 1080 pixels full hd ips preto
",164.59,0,-,23/11/2020
"Monitor de ecrã Samsung S27F354FHU 68,6 cm (27"") 1920 x 1080 pixels Full HD LED Preto
",165.13,0,-,23/11/2020
"Monitor de ecrã Acer KA KA272 68,6 cm (27"") 1920 x 1080 pixels Full HD LED Preto
",165.87,0,-,23/11/2020
"
  Monitor Gaming Asus VP278H FHD - 27''
",166.22,0,-,23/11/2020
"Monitor de ecrã Samsung LS27R650FDU 68,6 cm (27"") 1920 x 1080 pixels Full HD IPS Preto, Cinzento
",167.23,0,-,23/11/2020
"
  Monitor Philips 273V7QJAB/00 FHD - 27''
",168.33,0,-,23/11/2020
"Monitor de ecrã Hannspree Hanns.G HS 278 PPB 68,6 cm (27"") 1920 x 1080 pixels Full HD LED Preto, Cinzento
",176.29,208.02,31.730000000000018,23/11/2020
"Monitor de ecrã Benq BL2783 68,6 cm (27"") 1920 x 1080 pixels Full HD LED Preto
",171.73,0,-,23/11/2020
"
  Monitor Gaming LG FHD 27MP59G-P - 27''
",172.41,0,-,23/11/2020
"
  Monitor Acer SA270 FHD - 27''
",173.0,0,-,23/11/2020
"Monitor de ecrã lg 27mk430h-b 68,6 cm (27"") 1920 x 1080 pixels full hd led preto
",173.42,0,-,23/11/2020
"
  Monitor Gaming Asus FHD VP278QG - 27''
",174.61,0,-,23/11/2020
"
  Monitor Lenovo D27-20
",174.8,0,-,23/11/2020
"
  Samsung Monitor Curvo FHD C27F390FHU 27''
",178.29,0,-,23/11/2020
"Monitor de ecrã Samsung C27R500FHU 68,6 cm (27"") 1920 x 1080 pixels Full HD LCD Preto
",178.38,0,-,23/11/2020
"Monitor de ecrã DELL E Series E2720H 68,6 cm (27"") 1920 x 1080 pixels Alta definição total LCD Preto
",178.52,0,-,23/11/2020
"
  Monitor LG FHD 32MN500M-B  31.5''
",169.99,179.99,10.0,23/11/2020
"Monitor de ecrã Acer KA KA272BI 68,6 cm (27"") 1920 x 1080 pixels Full HD LED Preto
",180.0,0,-,23/11/2020
"
  Monitor Samsung FHD LS27R350FHUXEN
",189.99,0,-,23/11/2020
"
  Monitor Asus VZ279HE-W FHD - 27'' - Branco
",180.54,0,-,23/11/2020
"Monitor de ecrã Philips E Line 271E1SCA/00 LED display 68,6 cm (27"") 1920 x 1080 pixels Full HD LCD Preto
",185.28,214.92,29.639999999999986,23/11/2020
"Monitor de ecrã ASUS VL278H 68,6 cm (27"") 1920 x 1080 pixels Full HD LED Preto
",181.58,0,-,23/11/2020
"
  Asus Monitor LED FHD VS278H (27"")
",182.5,0,-,23/11/2020
"
  Monitor Asus VZ279HE FHD - 27''
",184.96,0,-,23/11/2020
"Monitor de ecrã Hannspree Hanns.G HS 275 HFB 68,6 cm (27"") 1920 x 1080 pixels Full HD LED Preto, Cinzento
",160.81,189.76,28.94999999999999,23/11/2020
"Monitor de ecrã DELL E Series E2720HS 68,6 cm (27"") 1920 x 1080 pixels Alta definição total LCD Preto
",188.22,0,-,23/11/2020
"
  Monitor Curvo Philips FHD 272E1CA/00 27''
",188.4,0,-,23/11/2020
"Monitor de ecrã HP 27y 68,6 cm (27"") 1920 x 1080 pixels Full HD LED Preto
",194.61,229.64,35.02999999999997,23/11/2020
"
  Monitor HP 27F FHD - 27''
",149.99,189.99,40.0,23/11/2020
"
  Monitor HP 27fw FHD - 27''
",179.99,189.99,10.0,23/11/2020
"Monitor de Ecrã Viewsonic VX Series VX2776-SMH | 68,6 cm (27"") | 1920x1080 pixels | Full HD LED - Prateado
",192.09,0,-,23/11/2020
"Monitor de ecrã Samsung C27R504FHU 68,6 cm (27"") 1920 x 1080 pixels Full HD LCD Preto
",192.8,0,-,23/11/2020
"Monitor de ecrã Philips S Line 272S1AE/00 LED display 68,6 cm (27"") 1920 x 1080 pixels Full HD LCD Preto
",193.21,0,-,23/11/2020
"Monitor de ecrã DELL SE2719HR 68,6 cm (27"") 1920 x 1080 pixels Full HD LCD Preto
",194.19,0,-,23/11/2020
"Monitor de ecrã LG 27MP59G-P LED display 68,6 cm (27"") 1920 x 1080 pixels Full HD Preto
",194.82,0,-,23/11/2020
"
  Samsung Monitor LED FHD S27F350FHU 27""
",197.86,0,-,23/11/2020
"Monitor de ecrã hannspree hs270hcb 68,6 cm (27"") 1920 x 1080 pixels full hd lcd preto
",199.53,229.46,29.930000000000007,23/11/2020
"Monitor de ecrã hannspree hs270hcw 68,6 cm (27"") 1920 x 1080 pixels alta definição total lcd branco
",199.53,231.45,31.919999999999987,23/11/2020
"Monitor de ecrã Benq GL2780 68,6 cm (27"") 1920 x 1080 pixels Full HD LED Preto
",201.38,235.61,34.23000000000002,23/11/2020
"
  Monitor Gaming Asus VZ279HEG1R FHD - 27''
",169.99,199.99,30.0,23/11/2020
"Monitor de ecrã Acer CB2 CB272 68,6 cm (27"") 1920 x 1080 pixels Full HD LED Preto
",201.18,0,-,23/11/2020
"Monitor de ecrã Hannspree Hanns.G HS 279 PSB 68,6 cm (27"") 1920 x 1080 pixels Full HD LED Alumínio, Preto, Cinzento
",202.0,0,-,23/11/2020
"
  Monitor Gaming Acer FHD VG270 - 27''
",203.16,0,-,23/11/2020
"Monitor de ecrã Lenovo ThinkVision S27i 68,6 cm (27"") 1920 x 1080 pixels Full HD LED Preto
",204.86,0,-,23/11/2020
"
  Monitor Curvo Samsung FHD F396 27''
",212.46,0,-,23/11/2020
"Monitor de ecrã lg 27mk600m-b 68,6 cm (27"") 1920 x 1080 pixels full hd led preto
",212.03,248.08,36.05000000000001,23/11/2020
"Monitor de ecrã LG 27BK550Y 68,6 cm (27"") 1920 x 1080 pixels Full HD LED Preto
",211.3,0,-,23/11/2020
"Monitor de ecrã HP 27m 68,6 cm (27"") 1920 x 1080 pixels Full HD LED Branco
",211.99,0,-,23/11/2020
"Monitor de ecrã lg 27mk600m-w 68,6 cm (27"") 1920 x 1080 pixels full hd led preto
",212.04,250.21,38.170000000000016,23/11/2020
"
  Monitor Gaming Acer FHD KG271 - 27''
",215.22,0,-,23/11/2020
"Monitor de ecrã Samsung C27R504FHU 68,6 cm (27"") 1920 x 1080 pixels Full HD LCD Preto
",217.89,0,-,23/11/2020
"
  Monitor LG WHD 29WL500-B - 29''
",218.82,0,-,23/11/2020
"Monitor de ecrã Denver MLC-2701 68,6 cm (27"") 1920 x 1080 pixels Full HD LED Branco
",219.9,0,-,23/11/2020
"Monitor de ecrã keepout xgm27c+ 68,6 cm (27"") 1920 x 1080 pixels full hd led preto, cinzento, vermelho
",222.36,0,-,23/11/2020
"Monitor de ecrã aoc pro-line 27p1 68,6 cm (27"") 1920 x 1080 pixels full hd led preto
",222.36,0,-,23/11/2020
"Monitor de ecrã iiyama G-MASTER GB2730HSU-B1 LED display 68,6 cm (27"") 1920 x 1080 pixels Full HD Preto
",223.43,0,-,23/11/2020
"Monitor de ecrã LG 27BK550Y-B LED display 68,6 cm (27"") 1920 x 1080 pixels Full HD Preto
",229.77,0,-,23/11/2020
"Monitor de ecrã Hannspree HQ 272 PQD 68,6 cm (27"") 2560 x 1440 pixels Wide Quad HD LED Preto
",225.98,0,-,23/11/2020
"
  Monitor Gaming AOC FHD G2778VQ - 27''
",225.99,0,-,23/11/2020
"
  Monitor Gaming AOC 27G2U/BK - 27''
",226.86,0,-,23/11/2020
"Monitor de ecrã aoc value-line 27v2q 68,6 cm (27"") 1920 x 1080 pixels full hd led preto
",227.49,0,-,23/11/2020
"
  Monitor Gaming AOC G2790VXA - 27''
",227.57,0,-,23/11/2020
"
  Monitor AOC FHD E277SH 27''
",227.59,0,-,23/11/2020
"Monitor de ecrã HP 27fw 68,6 cm (27"") 1920 x 1080 pixels Full HD LED Prateado, Branco
",229.41,0,-,23/11/2020
"Monitor de ecrã philips v line 272v8a/00 68,6 cm (27"") 1920 x 1080 pixels full hd lcd preto
",229.41,0,-,23/11/2020
"
  Monitor HP 32f FHD - 31,5''
",229.99,0,-,23/11/2020
"Monitor de ecrã Acer R0 R270 68,6 cm (27"") 1920 x 1080 pixels Full HD LED Preto
",230.51,0,-,23/11/2020
"Monitor de ecrã KeepOut XGM27RGBF LED display 68,6 cm (27"") 1920 x 1080 pixels Full HD Preto, Vermelho
",233.0,0,-,23/11/2020
"Monitor de ecrã AG Neovo LA-27 68,6 cm (27"") 1920 x 1080 pixels Full HD LED Preto
",233.42,0,-,23/11/2020
"Monitor de ecrã Benq EW2780 68,6 cm (27"") 1920 x 1080 pixels IPS Cinzento
",238.05,0,-,23/11/2020
"Monitor de ecrã Lenovo L27i-28 68,6 cm (27"") 1920 x 1080 pixels Full HD Preto
",234.43,0,-,23/11/2020
"Monitor de ecrã samsung ls27r652fdu 68,6 cm (27"") 1920 x 1080 pixels full hd led preto
",236.0,0,-,23/11/2020
"Monitor de ecrã ASUS VK278Q 68,6 cm (27"") 1920 x 1080 pixels Full HD Preto
",236.06,0,-,23/11/2020
"Monitor de ecrã v7 l270e-3eu 68,6 cm (27"") 1920 x 1080 pixels full hd led preto
",236.88,0,-,23/11/2020
"Monitor de ecrã lg 27gl63t-b 68,6 cm (27"") 1920 x 1080 pixels full hd lcd preto
",237.71,0,-,23/11/2020
"Monitor de ecrã Samsung LC27T550FDU 68,6 cm (27"") 1920 x 1080 pixels Full HD Azul, Cinzento
",241.0,0,-,23/11/2020
"Monitor de ecrã AOC Pro-line 27P1/GR LED display 68,6 cm (27"") 1920 x 1080 pixels Full HD Cinzento
",242.25,0,-,23/11/2020
"Monitor de ecrã Acer NITRO QG1 QG271bii 68,6 cm (27"") 1920 x 1080 pixels Full HD Preto
",242.64,0,-,23/11/2020
"
  Monitor Gaming AOC UHD 4K U2879VF - 28''
",243.03,0,-,23/11/2020
"
  Monitor Philips 272E2FA/00 - 27''
",204.87,237.65,32.78,23/11/2020
"Monitor de ecrã ASUS VP279QGL 68,6 cm (27"") 1920 x 1080 pixels Full HD LED Preto
",246.83,0,-,23/11/2020
"Monitor de ecrã Philips B Line 272B1G 68,6 cm (27"") 1920 x 1080 pixels Full HD LED Preto
",248.0,0,-,23/11/2020
"Monitor de ecrã Samsung CF39M 81,3 cm (32"") 1920 x 1080 pixels Full HD LED Preto
",248.19,0,-,23/11/2020
"Monitor de ecrã Lenovo ThinkVision T27i 68,6 cm (27"") 1920 x 1080 pixels Full HD LED Preto
",249.9,0,-,23/11/2020
"
  Monitor LG FHD 27BL650C-B - 27''
",209.99,249.99,40.0,23/11/2020
"
  Monitor Gaming Asus VG278Q FHD - 27''
",250.54,0,-,23/11/2020
"Monitor de ecrã HP 27fw 68,6 cm (27"") 1920 x 1080 pixels Full HD LED Branco
",250.69,0,-,23/11/2020
"Monitor de ecrã AOC 27P2C LED display 68,6 cm (27"") 1920 x 1080 pixels Full HD Preto
",254.09,0,-,23/11/2020
"
  Monitor Gaming AOC 27G2U5/BK - 27''
",232.8,274.7,41.89999999999998,23/11/2020
"
  Monitor HP EliteDisplay E273 FHD - 27''
",254.99,0,-,23/11/2020
"Monitor de ecrã DELL P2719HC_WOST 68,6 cm (27"") 1920 x 1080 pixels Alta definição total LCD Preto
",255.13,0,-,23/11/2020
"Monitor de ecrã Acer KG1 KG271Pbmidpx 68,6 cm (27"") 1920 x 1080 pixels Full HD LED Preto, Vermelho
",258.67,0,-,23/11/2020
"Monitor de ecrã DELL S Series S2719H 68,6 cm (27"") 1920 x 1080 pixels Full HD LCD Preto
",246.12,285.5,39.379999999999995,23/11/2020
"
  Monitor HP 27fh FHD - 27''
",260.14,0,-,23/11/2020
"Monitor de ecrã Hikvision Digital Technology DS-D5027FN LED display 68,6 cm (27"") 1920 x 1080 pixels Full HD Preto
",259.42,0,-,23/11/2020
"
  Monitor Dell FHD P2719H - 27''
",217.79,259.99,42.20000000000002,23/11/2020
"
  Monitor Philips 273B9/00 com USB-C - 27''
",239.99,259.99,20.0,23/11/2020
"
  Monitor AOC QHD Q3279VWF - 32''
",259.99,0,-,23/11/2020
"
  Monitor Gaming LG 29UM69G-B - 29''
",260.21,0,-,23/11/2020
"
  Monitor Gaming Samsung FHD LS27E330HZX 27''
",262.5,0,-,23/11/2020
"Monitor de ecrã AOC 27P2Q LED display 68,6 cm (27"") 1920 x 1080 pixels Full HD Preto
",267.08,0,-,23/11/2020
"Monitor de ecrã LG 27GL650F-B LED display 68,6 cm (27"") 1920 x 1080 pixels Full HD Preto
",264.18,0,-,23/11/2020
"monitor de ecrã plano Viewsonic Value Series VA2719-2K-SMHD  68,6 cm (27"") Wide Quad HD Preto
",265.44,0,-,23/11/2020
"Monitor LG 29UM69G 73,7 cm (29"""") QXGA LED Fosco Preto, Vermelho
",266.22,0,-,23/11/2020
"Monitor LG 29UM69G-B 29"""" IPS Preto LED
",266.22,0,-,23/11/2020
"Monitor de ecrã HP 27f 68,6 cm (27"") 1920 x 1080 pixels Full HD LED Preto, Prateado
",0.0,0,-,23/11/2020
"Monitor de ecrã viewsonic vx series vx2758-pc-mh 68,6 cm (27"") 1920 x 1080 pixels full hd led preto
",270.67,0,-,23/11/2020
"Monitor de ecrã Cooler Master GM27-CF 68,6 cm (27"") 1920 x 1080 pixels Full HD Preto
",267.38,315.51,48.129999999999995,23/11/2020
"
  Monitor Gaming Asus VG278QF - 27''
",244.99,269.99,25.0,23/11/2020
"
  Monitor Gaming Curvo AOC FHD C27G2AE - 27''
",239.99,269.99,30.0,23/11/2020
"
  Monitor HP 32s FHD - 31,5''
",270.27,0,-,23/11/2020
"Monitor de ecrã NEC Sync E271N 68,6 cm (27"") 1920 x 1080 pixels Full HD LED Preto
",271.12,0,-,23/11/2020
"Monitor iiyama B2791HSU-B1/27"" TN 1MS | LED | FHD | 1 ms | 27
",271.61,0,-,23/11/2020
"Monitor de ecrã iiyama g-master gb2760hsu-b1 68,6 cm (27"") 1920 x 1080 pixels full hd led preto
",272.38,0,-,23/11/2020
